movie_id,person_id,role,character_name
1,1,Director,
1,2,Actor,Andy Dufresne
1,3,Actor,Ellis Boyd 'Red' Redding
2,4,Director,
2,5,Actor,Vito Corleone
2,6,Actor,Michael Corleone
3,7,Director,
3,8,Actor,Bruce Wayne / Batman
3,9,Actor,The Joker
4,10,Director,
4,11,Actor,Vincent Vega
4,12,Actor,Mia Wallace
5,13,Director,
5,14,Actor,Oskar Schindler
6,15,Director,
6,16,Actor,Frodo Baggins
6,17,Actor,Aragorn
7,18,Director,
7,19,Actor,Forrest Gump
8,7,Director,
8,20,Actor,Dom Cobb
9,10,Director,
9,21,Actor,Tyler Durden
9,22,Actor,The Narrator
10,25,Director,
11,7,Director,
11,20,Actor,Neo
12,25,Director,
12,21,Actor,Detective Mills
12,3,Actor,Detective Somerset
13,35,Director,
14,7,Director,
14,20,Actor,Cooper
15,38,Director,
15,36,Actor,Clarice Starling
15,37,Actor,Hannibal Lecter
19,23,Director,
19,24,Actor,Maximus
20,25,Director,
20,20,Actor,Billy Costigan
20,26,Actor,Colin Sullivan
20,27,Actor,Frank Costello
22,29,Director,
24,29,Director,
24,30,Actor,Mia Dolan
24,31,Actor,Sebastian Wilder
25,32,Director,
25,33,Actor,Imperator Furiosa
25,34,Actor,Max Rockatansky
