movie_id,title,release_year,runtime_minutes,budget_usd,revenue_usd,language,overview
1,The Shawshank Redemption,1994,142,25000000,16000000,English,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,1972,175,6000000,245066411,English,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
3,The Dark Knight,2008,152,185000000,1004558444,English,"When the menace known as the Joker wreaks havoc and chaos on Gotham City, Batman must accept one of the greatest tests of his ability to fight injustice."
4,Pulp Fiction,1994,154,8000000,213928762,English,"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption."
5,Schindler's List,1993,195,22000000,322161245,English,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
6,The Lord of the Rings: The Return of the King,2003,201,94000000,1140682011,English,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
7,Forrest Gump,1994,142,55000000,678226133,English,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man with an IQ of 75."
8,Inception,2010,148,160000000,836836967,English,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
9,Fight Club,1999,139,63000000,101219755,English,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into something much, much more."
10,Goodfellas,1990,146,25000000,46836394,English,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
11,The Matrix,1999,136,63000000,467222728,English,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
12,Se7en,1995,127,33000000,327311859,English,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
13,Parasite,2019,132,11400000,258773645,Korean,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
14,Interstellar,2014,169,165000000,701729506,English,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
15,The Silence of the Lambs,1991,118,19000000,272742922,English,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer."
16,City of God,2002,130,3300000,30646428,Portuguese,"In the slums of Rio, two kids take different paths: one becomes a photographer, the other a drug dealer."
17,The Lion King,1994,88,45000000,968400000,English,"Lion prince Simba and his father are targeted by his treacherous uncle, who wants to ascend the throne himself."
18,Back to the Future,1985,116,19000000,388758904,English,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, Dr. Emmett Brown."
19,Gladiator,2000,155,103000000,460583960,English,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
20,The Departed,2006,151,90000000,290539383,English,"An undercover cop and a mole in the police attempt to identify each other while simultaneously infiltrating an Irish gang in South Boston."
21,Spirited Away,2001,125,19000000,395802802,Japanese,"During her family's move to the suburbs, a sulky 10-year-old girl wanders into a world ruled by gods, witches, and spirits."
22,Whiplash,2014,107,3300000,49025005,English,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
23,The Grand Budapest Hotel,2014,99,25000000,174782275,English,"A writer encounters the owner of an aging European hotel as he recounts his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
24,La La Land,2016,128,30000000,446092357,English,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
25,Mad Max: Fury Road,2015,120,185000000,374740394,English,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners and a drifter named Max."
