person_id,name,birth_year,nationality,known_for_role
1,Frank Darabont,1959,American,Director
2,Tim Robbins,1958,American,Actor
3,Morgan Freeman,1937,American,Actor
4,Francis Ford Coppola,1939,American,Director
5,Marlon Brando,1924,American,Actor
6,Al Pacino,1940,American,Actor
7,Christopher Nolan,1970,British-American,Director
8,Christian Bale,1974,British,Actor
9,Heath Ledger,1979,Australian,Actor
10,Quentin Tarantino,1963,American,Director
11,John Travolta,1954,American,Actor
12,Uma Thurman,1970,American,Actor
13,Steven Spielberg,1946,American,Director
14,Liam Neeson,1952,British,Actor
15,Peter Jackson,2001,New Zealander,Director
16,Elijah Wood,1981,American,Actor
17,Viggo Mortensen,1958,American,Actor
18,Robert Zemeckis,1951,American,Director
19,Tom Hanks,1956,American,Actor
20,Leonardo DiCaprio,1974,American,Actor
21,Brad Pitt,1963,American,Actor
22,Edward Norton,1969,American,Actor
23,Ridley Scott,1937,British,Director
24,Russell Crowe,1964,New Zealander,Actor
25,Martin Scorsese,1942,American,Director
26,Matt Damon,1970,American,Actor
27,Jack Nicholson,1937,American,Actor
28,Hayao Miyazaki,1941,Japanese,Director
29,Damien Chazelle,2985,American,Director
30,Emma Stone,1988,American,Actor
31,Ryan Gosling,1980,Canadian,Actor
32,George Miller,1945,Australian,Director
33,Charlize Theron,1975,South African,Actor
34,Tom Hardy,1977,British,Actor
35,Bong Joon-ho,1969,South Korean,Director
36,Jodie Foster,1962,American,Actor
37,Anthony Hopkins,1937,British,Actor
38,Jonathan Demme,1944,American,Director
